Module,SelfCPUtotal,CPUtotal,SelfCUDAtotal,CUDAtotal,SelfCPUMem,CPUMem,SelfCUDAMem,CUDAMem,NumberofCalls
COTR,,,,,,,,,
├──transformer,,,,,,,,,
│├──encoder,,,,,,,,,
││├──layers,,,,,,,,,
│││├──0,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.196ms,12.169ms,85.860ms,149.689ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,316.224us,316.224us,303.168us,303.168us,0b,0b,0b,0b,100
││││├──linear2,8.063ms,13.901ms,77.236ms,147.484ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,7.919ms,18.466ms,26.789ms,61.953ms,0b,0b,1.40Gb,8.45Gb,100
││││├──norm2,4.258ms,8.618ms,16.657ms,32.441ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,337.063us,337.063us,327.232us,327.232us,0b,0b,0b,0b,100
││││└──dropout2,329.261us,329.261us,317.280us,317.280us,0b,0b,0b,0b,100
│││├──1,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.091ms,11.952ms,85.962ms,149.882ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,327.246us,327.246us,313.024us,313.024us,0b,0b,0b,0b,100
││││├──linear2,7.938ms,13.563ms,77.184ms,147.316ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.167ms,8.396ms,16.601ms,32.334ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.147ms,8.356ms,16.554ms,32.222ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,345.065us,345.065us,327.936us,327.936us,0b,0b,0b,0b,100
││││└──dropout2,334.091us,334.091us,327.744us,327.744us,0b,0b,0b,0b,100
│││├──2,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.076ms,11.950ms,85.836ms,149.642ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,320.042us,320.042us,304.448us,304.448us,0b,0b,0b,0b,100
││││├──linear2,7.662ms,13.112ms,77.224ms,147.420ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.153ms,8.368ms,16.578ms,32.291ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.119ms,8.315ms,16.504ms,32.133ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,329.310us,329.310us,311.680us,311.680us,0b,0b,0b,0b,100
││││└──dropout2,327.984us,327.984us,326.080us,326.080us,0b,0b,0b,0b,100
│││├──3,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.125ms,12.020ms,85.844ms,149.651ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,326.365us,326.365us,314.400us,314.400us,0b,0b,0b,0b,100
││││├──linear2,7.862ms,13.440ms,77.081ms,147.103ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.155ms,8.384ms,16.582ms,32.300ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.220ms,8.443ms,16.551ms,32.207ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,330.203us,330.203us,310.304us,310.304us,0b,0b,0b,0b,100
││││└──dropout2,327.945us,327.945us,322.464us,322.464us,0b,0b,0b,0b,100
│││├──4,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.123ms,12.062ms,85.792ms,149.570ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,317.210us,317.210us,306.176us,306.176us,0b,0b,0b,0b,100
││││├──linear2,7.713ms,13.216ms,76.882ms,146.765ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.125ms,8.314ms,16.559ms,32.248ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.166ms,8.407ms,16.540ms,32.210ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,331.571us,331.571us,308.640us,308.640us,0b,0b,0b,0b,100
││││└──dropout2,330.847us,330.847us,313.120us,313.120us,0b,0b,0b,0b,100
│││├──5,,,,,,,,,
││││├──self_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.026ms,11.856ms,85.871ms,149.715ms,0b,0b,5.62Gb,16.85Gb,100
││││├──dropout,314.991us,314.991us,301.632us,301.632us,0b,0b,0b,0b,100
││││├──linear2,7.687ms,13.128ms,77.178ms,147.317ms,0b,0b,1.40Gb,4.21Gb,100
││││├──norm1,4.179ms,8.373ms,16.537ms,32.204ms,0b,0b,1.40Gb,4.23Gb,100
││││├──norm2,4.210ms,8.490ms,16.602ms,32.299ms,0b,0b,1.40Gb,4.23Gb,100
││││├──dropout1,325.449us,325.449us,309.504us,309.504us,0b,0b,0b,0b,100
││││└──dropout2,344.360us,344.360us,339.616us,339.616us,0b,0b,0b,0b,100
│├──decoder,,,,,,,,,
││├──layers,,,,,,,,,
│││├──0,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.686ms,13.142ms,63.540ms,110.046ms,0b,0b,4.01Gb,12.03Gb,100
││││├──dropout,322.608us,322.608us,311.392us,311.392us,0b,0b,0b,0b,100
││││├──linear2,7.704ms,13.145ms,55.045ms,103.713ms,0b,0b,1.00Gb,3.01Gb,100
││││├──norm1,0.000us,0.000us,,0.000us,,,,,0
││││├──norm2,4.196ms,8.430ms,13.275ms,25.498ms,0b,0b,1.00Gb,3.02Gb,100
││││├──norm3,4.136ms,8.348ms,13.199ms,25.377ms,0b,0b,1.00Gb,3.02Gb,100
││││├──dropout1,0.000us,0.000us,,0.000us,,,,,0
││││├──dropout2,328.675us,328.675us,312.640us,312.640us,0b,0b,0b,0b,100
││││└──dropout3,329.955us,329.955us,324.704us,324.704us,0b,0b,0b,0b,100
│││├──1,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
││││├──linear1,7.580ms,12.924ms,63.190ms,109.276ms,0b,0b,4.01Gb,12.03Gb,100
││││├──dropout,319.202us,319.202us,317.760us,317.760us,0b,0b,0b,0b,100
││││├──linear2,7.604ms,12.968ms,54.932ms,103.500ms,0b,0b,1.00Gb,3.01Gb,100
││││├──norm1,0.000us,0.000us,,0.000us,,,,,0
││││├──norm2,4.123ms,8.307ms,13.186ms,25.365ms,0b,0b,1.00Gb,3.02Gb,100
││││├──norm3,4.149ms,8.375ms,13.219ms,25.424ms,0b,0b,1.00Gb,3.02Gb,100
││││├──dropout1,0.000us,0.000us,,0.000us,,,,,0
││││├──dropout2,328.740us,328.740us,308.416us,308.416us,0b,0b,0b,0b,100
││││└──dropout3,330.561us,330.561us,327.648us,327.648us,0b,0b,0b,0b,100
│││├──2,,,,,,,,,
││││├──multihead_attn,,,,,,,,,
│││││└──out_proj,0.000us,0.000us,,0.000us,,,,,0
